prompt,quoted_text,type
"A chalkboard sign outside a bookstore: ""A book is a dream you hold in your hand. Open one today and let your imagination take flight.""",A book is a dream you hold in your hand. Open one today and let your imagination take flight.,long
"A mural painted on the side of a building with a message: ""Be the change you wish to see in the world. Your voice has power.""",Be the change you wish to see in the world. Your voice has power.,long
"A handwritten sign taped to a lamppost advertising a lost pet: ""Missing: Our beloved cat, Max. He's a fluffy ginger tabby with big green eyes.""","Missing: Our beloved cat, Max. He's a fluffy ginger tabby with big green eyes.",long
"A faded treasure map with clues and directions: ""Follow the winding path, past the gnarled oak, X marks the spot where riches await.""","Follow the winding path, past the gnarled oak, X marks the spot where riches await.",long
"A field guide page for birdwatching description: ""The Northern Cardinal –  its cheerful song a reminder of warmer days to come.""",The Northern Cardinal –  its cheerful song a reminder of warmer days to come.,long
"A poster displayed in a yoga studio with a quote: ""Breathe in the present moment. Find peace within the stillness of your heart.""",Breathe in the present moment. Find peace within the stillness of your heart.,long
"A personalized birthday banner strung across a backyard: ""Happy 30th! Over the hill and picking up speed – cheers to the best years yet!""",Happy 30th! Over the hill and picking up speed – cheers to the best years yet!,long
"A cartoon drawing of a cat chasing a laser pointer with the caption: ""The daily struggle is real. Why must the red dot always disappear?""",The daily struggle is real. Why must the red dot always disappear?,long
"A decorative welcome mat with a witty greeting: ""Come in, make yourself at home... just kidding, please clean up after yourself.""","Come in, make yourself at home... just kidding, please clean up after yourself.",long
"A vintage wooden sign found in a barn: ""Gather fresh eggs daily. Feed chickens twice a day. Water horses before sunset.""",Gather fresh eggs daily. Feed chickens twice a day. Water horses before sunset.,long
"A close-up of a knitted scarf with a tag displaying the care instructions: ""Hand wash cold. Lay flat to dry. Made with love.""",Hand wash cold. Lay flat to dry. Made with love.,long
"A photograph of an old typewriter with a letter inserted: ""Dearest Margaret, I find myself longing for your company on this quiet afternoon.""","Dearest Margaret, I find myself longing for your company on this quiet afternoon.",long
"A motivational poster displayed in a gym with bold, capitalized text: ""Sweat now, shine later. Push your limits. You got this!""","Sweat now, shine later. Push your limits. You got this!",long
"A kitchen towel embroidered with a recipe for making lemonade: ""Fresh lemons, sugar, water, ice. Mix, chill, and enjoy a taste of summer.""","Fresh lemons, sugar, water, ice. Mix, chill, and enjoy a taste of summer.",long
"A birthday card with a heartfelt, handwritten message inside: ""Wishing you a year filled with happiness and laughter. Happy Birthday!""",Wishing you a year filled with happiness and laughter. Happy Birthday!,long
"A hand-painted wooden sign leaning against an old farmhouse reading: ""Fresh eggs for sale. $5 per dozen. Honesty box by the gate.""",Fresh eggs for sale. $5 per dozen. Honesty box by the gate.,long
"A close-up of a colorful tapestry with an embroidered proverb: ""Live in the sunshine, swim in the sea, drink the wild air.""","Live in the sunshine, swim in the sea, drink the wild air.",long
"A macro shot of a bee collecting pollen with a label overlay: ""Pollinator at work. Essential for a healthy ecosystem. Protect our bees.""",Pollinator at work. Essential for a healthy ecosystem. Protect our bees.,long
"A faded inscription carved into a tree trunk: ""AB + RM Forever. True love never fades. August 2005.""",AB + RM Forever. True love never fades. August 2005.,long
"A photo of a well-worn leather journal with the first page inscription: ""My adventures begin here. Where will this journey take me?""",My adventures begin here. Where will this journey take me?,long
"A handwritten to-do list on a crumpled paper: ""Call Mom. Pick up groceries. Finish project. Don't forget to breathe.""",Call Mom. Pick up groceries. Finish project. Don't forget to breathe.,long
"A label on a medicine bottle with dosage instructions: ""For relief of pain, take two tablets every 4-6 hours. Do not exceed the recommended dose.""","For relief of pain, take two tablets every 4-6 hours. Do not exceed the recommended dose.",long
"A photorealistic drawing of an unfurling rose with the text overlay: ""Bloom where you are planted. Embrace growth and transformation.""",Bloom where you are planted. Embrace growth and transformation.,long
"A vintage poster advertising a magician's performance with the text: ""Prepare to be amazed! Witness the impossible! Illusions that will defy belief.""",Prepare to be amazed! Witness the impossible! Illusions that will defy belief.,long
"A sign at a hiking trailhead with safety reminders: ""Pack plenty of water. Stay on marked trails. Leave no trace. Hike safe, enjoy the views!""","Pack plenty of water. Stay on marked trails. Leave no trace. Hike safe, enjoy the views!",long
"A hand-lettered sign at a lemonade stand: ""Ice-cold lemonade! 50 cents a cup. Refreshment on a hot day!""",Ice-cold lemonade! 50 cents a cup. Refreshment on a hot day!,long
"A photo of a weathered anchor with an inscription: ""Hope anchors the soul. Hold on tight, even in the stormiest seas.""","Hope anchors the soul. Hold on tight, even in the stormiest seas.",long
"A personalized luggage tag with the owner's name and a quote: ""Sarah Johnson. The world is my oyster. Time to explore!""",Sarah Johnson. The world is my oyster. Time to explore!,long
"A fortune cookie with the paper message unfolded: ""A smile is your passport into the hearts of others. Share yours today.""",A smile is your passport into the hearts of others. Share yours today.,long
"A sticky note reminder stuck to a bathroom mirror: ""You are beautiful. You are strong. You are enough. Believe it!""",You are beautiful. You are strong. You are enough. Believe it!,long
"A framed poem hanging on a wall: ""Take time to smell the roses. Life's greatest treasures are found in the moments that pass so slow.""",Take time to smell the roses. Life's greatest treasures are found in the moments that pass so slow.,long
"A sign posted at a dog park with park rules: ""Leashes required. Clean up after your pet. Play nice and have fun!""",Leashes required. Clean up after your pet. Play nice and have fun!,long
"A vintage postcard with a scenic view and a short note: ""Greetings from California! The beaches are amazing, wish you were here!""","Greetings from California! The beaches are amazing, wish you were here!",long
"A rustic wooden bench with a carved inscription: ""Rest awhile, weary traveler. May your burdens be light and your heart find peace.""","Rest awhile, weary traveler. May your burdens be light and your heart find peace.",long
"A ticket stub from a memorable concert with the band name and date: ""Epic night! The Rolling Stevens - Live. Unforgettable memories made.""",Epic night! The Rolling Stevens - Live. Unforgettable memories made.,long
"A photo of a sandcastle with a flag bearing the builder's initials: ""King of the castle! Imagination built this. Beware of high tides.""",King of the castle! Imagination built this. Beware of high tides.,long
"An inscription on a sundial: ""Time measured by sunlight. Moments fleeting, seasons change. Make the most of each day.""","Time measured by sunlight. Moments fleeting, seasons change. Make the most of each day.",long
"A playful ransom note made from cut-out magazine letters: ""Your teddy bear is our prisoner! Leave 5 cookies by the tree or else....""",Your teddy bear is our prisoner! Leave 5 cookies by the tree or else....,long
"A close-up of a knitting pattern with detailed instructions: ""Knit one, purl two. Repeat. Create something beautiful, stitch by stitch.""","Knit one, purl two. Repeat. Create something beautiful, stitch by stitch.",long
"A personalized mug with a motivational message: ""Dream big. Work hard. Stay focused. Amazing things are possible.""",Dream big. Work hard. Stay focused. Amazing things are possible.,long
"A sign outside a school's art room: ""Enter with an open mind. Leave with a creative heart. This is where magic happens.""",Enter with an open mind. Leave with a creative heart. This is where magic happens.,long
"A photo of a well-worn passport filled with stamps from various countries: ""Adventure passport.  Evidence of a life well-traveled. Where to next?""",Adventure passport.  Evidence of a life well-traveled. Where to next?,long
"A handwritten label on a jar of homemade jam: ""Strawberry Sunshine. Made with love, August 2023. Enjoy a taste of summer sweetness.""","Strawberry Sunshine. Made with love, August 2023. Enjoy a taste of summer sweetness.",long
"A detailed map of a fantastical world with the caption: ""Explore the Enchanted Forest, climb Dragontooth Mountain, sail the Sea of Wonders.""","Explore the Enchanted Forest, climb Dragontooth Mountain, sail the Sea of Wonders.",long
"A worn guitar case covered in stickers and a band logo: ""This machine makes music.  Six strings and a whole lot of dreams.""",This machine makes music.  Six strings and a whole lot of dreams.,long
"A weathered postcard showcasing a classic car with the description: ""Vintage ride, timeless style. 1965 Mustang convertible - a dream on wheels.""","Vintage ride, timeless style. 1965 Mustang convertible - a dream on wheels.",long
